一	𛆼 𛅰
赶	𛊦 𛇕
起	𛆻
越	𛋒
趣	𛇂
足	𛇭
趾	𛆑
跛	𛇣
跟	𛆃
跨	𛊶
跪	𛋫
路	𛋗
跳	𛉕
跽	𛉓
踏	𛋥
踢	𛉐
踩	𛋴 𛇦
身	𛈛
车	𛊌
转	𛋺 𛊶 𛇆
轻	𛊯
载	𛇥
轿	𛋔
较	𛆝
辈	𛊰
辉	𛆌
输	𛊼 𛈬
辛	𛊛 𛇹
辞	𛋳 𛋣
辣	𛉘 𛈞
辫	𛇙
辰	𛋙
边	𛇙
达	𛋥
迁	𛉱 𛆉
过	𛉘 𛇰 𛆅
迎	𛋍
运	𛇩
还	𛇐
这	𛋔
进	𛉑 𛈯
远	𛋟
违	𛊄
连	𛉹
迟	𛋣 𛊤
迫	𛈭 𛇫
述	𛉅
迷	𛇓
退	𛊇
送	𛉡 𛅿
适	𛇴
逃	𛊤
逆	𛈥
逊	𛊍
逍	𛈨
透	𛋃
通	𛉭 𛆤
逝	𛆓
造	𛊪
逢	𛋅 𛊘 𛆠
逼	𛉘
遇	𛇃
道	𛋛 𛇼
遗	𛆱 𛅺
遭	𛋳 𛊝
遮	𛊵
遵	𛊵
避	𛊰
邀	𛈕
郁	𛋍
郎	𛊥
郡	𛊶
部	𛉖
都	𛋗
酉	𛈶 𛈳
酌	𛊐
配	𛈭 𛇲
酒	𛊟 𛆆
酬	𛉬
酸	𛈊
采	𛉑 𛇦
里	𛉄
重	𛊻 𛊪 𛈯
野	𛇩
量	𛉴 𛇖
金	𛋔 𛆭
针	𛆭
钉	𛉼
钗	𛉉
钢	𛈌 𛇕
钩	𛋂
钱	𛋋
铁	𛉐
铜	𛆒
铳	𛋬
银	𛆰
铺	𛉖
锁	𛈁
锄	𛉗
锅	𛊿
错	𛋞 𛅲
锡	𛊈
锦	𛆻
镇	𛊝
镜	𛇆
镶	𛉵
长	𛋳 𛊻 𛊪 𛈽 𛈯 𛇗
门	𛋁 𛇷
问	𛋆 𛉟
闰	𛇩
闲	𛇐
间	𛈸 𛇕 𛆃
闹	𛈏
闺	𛋔 𛊵
闻	𛋁 𛇷 𛆂
阁	𛉦 𛇿
阎	𛋍
队	𛆬
防	𛋅
阳	𛈿
阴	𛆱
阵	𛋮
阶	𛉌 𛇧
阻	𛊽
附	𛊓 𛆖
陈	𛋳 𛊝
降	𛊪
限	𛇐
院	𛈇 𛆧
除	𛇭
险	𛉃
陪	𛊘 𛇲
隆	𛉴
随	𛉅
隐	𛋡
隔	𛈅
难	𛈷
雄	𛈾
雕	𛅾
雨	𛇯 𛅷
雪	𛊗
零	𛉼 𛉀
雷	𛊆 𛇟
霜	𛈊
露	𛋗
霸	𛇲
青	𛊭
静	𛉽
非	𛆌
靠	𛆣 𛆄
面	𛋉
靴	𛊍
鞋	𛇮
鞍	𛊃
鞭	𛇙
韩	𛊨
韭	𛆆
音	𛆱
顺	𛊍
顾	𛉘 𛆅
顿	𛆬
颂	𛊪
领	𛉼
颈	𛇆
颜	𛈕
风	𛋆 𛆠 𛆙
飘	𛅶
飞	𛆌
食	𛊼 𛆈
餐	𛉱
饥	𛋔
饭	𛈺 𛆌
饮	𛋡
饱	𛈲
饿	𛊃
馆	𛊦 𛇕
馊	𛇏
首	𛆞
香	𛉶
马	𛇀
驴	𛆽
驼	𛆒
驾	𛉋
骂	𛊾
验	𛈏
骑	𛊻
骗	𛅶
骨	𛆐
高	𛋂
髻	𛊝
鬚	𛊾
鬼	𛈙
魂	𛈮 𛆙
魄	𛋷
鱼	𛊢
鲁	𛋗
鲜	𛇚
鲤	𛉄
鸟	𛋒
鸡	𛋔
鸣	𛇾
鸬	𛋗
鸭	𛊮 𛆵
鸯	𛊫
鸳	𛊫
鸽	𛋸
鸿	𛉢
鹅	𛊢 𛇯
麒	𛋔 𛊻
麟	𛇇
麦	𛉟 𛇀
麻	𛇀
黄	𛊨
黑	𛋚
默	𛋍
鼓	𛇰
鼠	𛋱
齐	𛉒 𛉑
齿	𛇠
龄	𛉼 𛉀
龙	𛉴
龟	𛈘
